,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_7_OnlyVCWG_Bueno.csv,MeteoData.Tatm,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 13:50:00,23.252,23.534,99570.0,100031.0,101.48,23.567000000000007,296.512,100464.208,23.728690664390456
2004-07-01 13:55:00,23.158,23.644,99570.0,100029.0,102.105,23.583000000000027,296.533,100464.179,23.751389885368326
2004-07-01 14:00:00,23.238,23.738,99564.0,100027.0,101.388,23.600000000000023,296.54,100464.155,23.76007614138257
2004-07-01 14:05:00,23.372,23.502,99564.0,100024.25,102.347,23.658000000000015,296.624,100464.033,23.846413092452963
2004-07-01 14:10:00,23.414,23.454,99558.0,100021.5,101.521,23.71700000000004,296.716,100463.899,23.940751343791987
2004-07-01 14:15:00,23.298,23.538,99550.0,100018.75,102.437,23.775000000000034,296.817,100463.762,24.044099950476095
2004-07-01 14:20:00,23.304,23.406,99548.0,100016.0,101.663,23.833000000000027,296.905,100463.632,24.134439460076862
2004-07-01 14:25:00,23.116,23.368,99550.0,100013.25,102.341,23.891999999999996,296.997,100463.501,24.22878466644181
2004-07-01 14:30:00,23.242,23.486,99542.0,100010.5,101.598,23.950000000000045,297.081,100463.375,24.31512522403193
2004-07-01 14:35:00,23.928,23.558,99534.0,100007.75,102.141,24.008000000000038,297.171,100463.246,24.407472386930806
2004-07-01 14:40:00,23.916,23.81,99538.0,100005.0,101.45,24.067000000000007,297.251,100463.122,24.48981213851232
2004-07-01 14:45:00,23.678,23.564,99544.0,100002.25,101.814,24.125,297.337,100462.997,24.57816022026492
2004-07-01 14:50:00,23.588,23.538,99532.0,99999.5,101.113,24.18300000000005,297.416,100462.875,24.65950295829151
2004-07-01 14:55:00,23.812,23.33,99526.0,99996.75,105.771,24.24200000000002,297.501,100462.752,24.74685410235088
2004-07-01 15:00:00,23.328,23.156,99526.0,99994.0,105.252,24.30000000000001,297.593,100462.626,24.841213428677293
2004-07-01 15:05:00,23.286,23.034,99526.0,99991.5,104.648,24.266999999999996,297.613,100462.592,24.863342288063336
2004-07-01 15:10:00,23.174,23.116,99520.0,99989.0,103.104,24.233000000000004,297.6,100462.582,24.852447234835836
2004-07-01 15:15:00,23.39,23.086,99516.0,99986.5,102.11,24.200000000000045,297.588,100462.572,24.84255342401468
2004-07-01 15:20:00,23.576,23.038,99518.0,99984.0,100.461,24.16700000000003,297.571,100462.564,24.82765437413434
2004-07-01 15:25:00,23.314,23.102,99512.0,99981.5,99.394,24.133000000000038,297.557,100462.555,24.81575842287384
2004-07-01 15:30:00,23.448,23.148000000000003,99516.0,99979.0,97.624,24.100000000000023,297.534,100462.551,24.794854153571407
2004-07-01 15:35:00,23.384,23.278,99520.0,99976.5,96.488,24.067000000000007,297.515,100462.546,24.777954327747466
2004-07-01 15:40:00,23.378,23.17,99516.0,99974.0,94.648,24.033000000000015,297.49,100462.545,24.755049320167984
2004-07-01 15:45:00,23.612,23.014000000000003,99512.0,99971.5,93.471,24.0,297.468,100462.543,24.735147382103207
2004-07-01 15:50:00,23.756,23.146,99508.0,99969.0,91.563,23.96700000000004,297.439,100462.545,24.708238723074487
2004-07-01 15:55:00,23.448,23.102,99506.0,99966.5,104.051,23.93300000000005,297.414,100462.546,24.68533453560235
2004-07-01 16:00:00,23.272,23.072,99502.0,99964.0,102.58,23.900000000000034,297.414,100462.537,24.687457175089605
2004-07-01 16:05:00,23.292,22.934,99490.0,99960.667,102.38,23.858000000000004,297.359,100462.583,24.635257520423806
2004-07-01 16:10:00,23.208,22.986,99486.0,99957.333,101.909,23.817000000000007,297.317,100462.627,24.596074841069083
2004-07-01 16:15:00,23.19,23.062,99488.0,99954.0,102.375,23.775000000000034,297.3,100462.657,24.581915073929054
2004-07-01 16:20:00,23.132,23.130000000000003,99480.0,99950.667,102.295,23.733000000000004,297.283,100462.686,24.56775425384768
2004-07-01 16:25:00,23.092,22.978,99480.0,99947.333,102.814,23.692000000000007,297.272,100462.711,24.55959952258911
2004-07-01 16:30:00,23.294,22.936,99484.0,99944.0,102.799,23.650000000000034,297.258,100462.737,24.548440252379123
2004-07-01 16:35:00,23.096,22.908,99472.0,99940.667,103.396,23.608000000000004,297.251,100462.76,24.544288731496636
2004-07-01 16:40:00,23.062,22.884,99470.0,99937.333,103.428,23.567000000000007,297.24,100462.783,24.53613204637645
2004-07-01 16:45:00,23.23,23.22,99466.0,99934.0,104.045,23.525000000000034,297.235,100462.804,24.533981788187475
2004-07-01 16:50:00,23.246,23.192,99460.0,99930.667,104.117,23.483000000000004,297.226,100462.825,24.527825475429665
2004-07-01 16:55:00,23.128,23.272,99450.0,99927.333,122.103,23.442000000000007,297.223,100462.843,24.527676599960387
